model,accuracy,n_observed,1pl_regular,1pl_item_marginal_mmle,2pl_regular,2pl_item_marginal_mmle,3pl_regular,3pl_item_marginal_mmle,1pl_regular_rank,1pl_item_marginal_mmle_rank,2pl_regular_rank,2pl_item_marginal_mmle_rank,3pl_regular_rank,3pl_item_marginal_mmle_rank
mistralai_ministral_3_14b_instruct_2512_bf16,0.40601503759398494,133,-1.3239179,0.86783767,-0.5132066,0.6250887,-0.79681766,0.5908433,1,1,1,1,2,1
mistralai_ministral_3_8b_instruct_2512_bf16,0.3310810810810811,148,-1.7732067,0.54500186,-0.80096424,0.345997,-0.87661856,0.30882978,2,2,2,2,3,2
qwen_qwen3_5_2b,0.30973451327433627,113,-2.0384755,0.44693136,-0.91484797,0.24442635,-0.9180722,0.24186511,3,3,4,3,4,3
mistralai_ministral_3_3b_instruct_2512_bf16,0.2746478873239437,142,-2.2211802,0.27713424,-0.877858,0.138758,-1.0077726,0.10897285,4,4,3,4,5,4
qwen_qwen3_5_0_8b,0.22916666666666666,96,-2.5099683,0.035279095,-0.95372915,0.064303815,-1.3455944,0.048763424,5,5,5,5,6,5
claude_sonnet_4_6,0.22429906542056074,107,-2.557724,0.007514715,-1.1372167,-0.054928333,-0.7863777,-0.07591951,6,7,7,7,1,7
claude_haiku_4_5_20251001,0.22826086956521738,92,-2.69717,0.030144036,-0.99262273,-0.0200575,-1.6982224,-0.026678562,7,6,6,6,7,6
qwen_qwen3_5_27b,0.12,100,-3.4981728,-0.6989872,-2.4421124,-0.430831,-3.1399755,-0.3774197,8,8,8,8,9,8
qwen_qwen3_5_4b,0.1188118811881188,101,-3.5329077,-0.75542825,-2.5334296,-0.46298853,-2.6828861,-0.42005408,9,10,9,10,8,10
qwen_qwen3_5_9b,0.1188118811881188,101,-3.564051,-0.75542766,-2.815548,-0.44976887,-3.2259977,-0.39920223,10,9,10,9,10,9
