difficulty_bin,solver_difficulty_mean,judge_score_mean,judge_score_sd,n_items,n_judge_pair_items
1,-10.28990669110242,0.6632761437908496,0.14904240624931858,68,170
2,-5.26267650197534,0.5742958294428883,0.15115635716956566,68,208
3,-2.7901123886677754,0.5927623785832741,0.16953460930631456,67,184
4,-1.789793567622409,0.5657057267351384,0.12082046106813013,68,215
5,0.767425503859769,0.5826048329779674,0.18204553271561189,67,204
6,3.0927806777112625,0.6118639122315592,0.15063102515224408,68,214
7,3.4185198990266716,0.5756633499170812,0.14711658010300982,67,221
8,3.7467443767715904,0.581576797385621,0.15741457237504708,68,230
9,4.210754743262903,0.6089927347390034,0.15636490402198674,67,220
10,4.978714655427372,0.5771903205726735,0.15966686971836877,68,237
