difficulty_bin,judge_model,judge_score_mean,n_items
1,claude_haiku_4_5,0.7392156862745098,68
1,mistral_14b,0.6873134328358208,67
1,mistral_3b,0.607843137254902,68
1,mistral_8b,0.6872549019607843,68
1,qwen3_5_0_8b,0.49754901960784315,68
1,qwen3_5_27b,0.7840686274509804,68
1,qwen3_5_2b,0.582843137254902,68
1,qwen3_5_4b,0.5904411764705882,68
1,qwen3_5_9b,0.7938725490196079,68
2,claude_haiku_4_5,0.5988095238095239,68
2,mistral_14b,0.5572128851540616,68
2,mistral_3b,0.5270658263305322,68
2,mistral_8b,0.5501050420168068,68
2,qwen3_5_0_8b,0.5458333333333334,68
2,qwen3_5_27b,0.6951680672268907,68
2,qwen3_5_2b,0.4658263305322129,68
2,qwen3_5_4b,0.592296918767507,68
2,qwen3_5_9b,0.636344537815126,68
3,claude_haiku_4_5,0.6943496801705757,67
3,mistral_14b,0.5980099502487561,67
3,mistral_3b,0.5467306325515281,67
3,mistral_8b,0.5889481165600569,67
3,qwen3_5_0_8b,0.5279673063255154,67
3,qwen3_5_27b,0.7098791755508174,67
3,qwen3_5_2b,0.47366737739872067,67
3,qwen3_5_4b,0.5546197583511017,67
3,qwen3_5_9b,0.6406894100923952,67
4,claude_haiku_4_5,0.6571428571428571,68
4,mistral_14b,0.5581232492997198,68
4,mistral_3b,0.5197330447330447,66
4,mistral_8b,0.563375350140056,68
4,qwen3_5_0_8b,0.4707633053221288,68
4,qwen3_5_27b,0.6441526610644257,68
4,qwen3_5_2b,0.5331582633053221,68
4,qwen3_5_4b,0.5446778711484593,68
4,qwen3_5_9b,0.6044817927170868,68
5,claude_haiku_4_5,0.6438877043354656,67
5,mistral_14b,0.5427505330490405,67
5,mistral_3b,0.545018315018315,65
5,mistral_8b,0.5591684434968017,67
5,qwen3_5_0_8b,0.5213930348258706,67
5,qwen3_5_27b,0.7204335465529496,67
5,qwen3_5_2b,0.5484008528784647,67
5,qwen3_5_4b,0.5543710021321961,67
5,qwen3_5_9b,0.611229566453447,67
6,claude_haiku_4_5,0.6841386554621849,68
6,mistral_14b,0.5789915966386555,68
6,mistral_3b,0.6043710021321961,67
6,mistral_8b,0.6364495798319327,68
6,qwen3_5_0_8b,0.5442577030812324,68
6,qwen3_5_27b,0.6996148459383753,68
6,qwen3_5_2b,0.5002100840336134,68
6,qwen3_5_4b,0.5304971988795518,68
6,qwen3_5_9b,0.7279411764705882,68
7,claude_haiku_4_5,0.6518834399431415,67
7,mistral_14b,0.5613275613275612,66
7,mistral_3b,0.5187229437229437,66
7,mistral_8b,0.5904406538734897,67
7,qwen3_5_0_8b,0.45369580668088133,67
7,qwen3_5_27b,0.6515636105188344,67
7,qwen3_5_2b,0.5457431457431458,66
7,qwen3_5_4b,0.5846481876332622,67
7,qwen3_5_9b,0.6256218905472637,67
8,claude_haiku_4_5,0.6348739495798319,68
8,mistral_14b,0.6141456582633052,68
8,mistral_3b,0.5892679459843639,67
8,mistral_8b,0.5843837535014006,68
8,qwen3_5_0_8b,0.5637955182072829,68
8,qwen3_5_27b,0.614985994397759,68
8,qwen3_5_2b,0.5430672268907564,68
8,qwen3_5_4b,0.4890056022408964,68
8,qwen3_5_9b,0.5964635854341737,68
9,claude_haiku_4_5,0.7185501066098081,67
9,mistral_14b,0.6171356421356421,66
9,mistral_3b,0.5857509157509158,65
9,mistral_8b,0.5959132906894101,67
9,qwen3_5_0_8b,0.5405117270788913,67
9,qwen3_5_27b,0.6974058280028429,67
9,qwen3_5_2b,0.5200071073205401,67
9,qwen3_5_4b,0.5154939587775409,67
9,qwen3_5_9b,0.6936744847192609,67
10,claude_haiku_4_5,0.6443627450980391,68
10,mistral_14b,0.6183621933621933,66
10,mistral_3b,0.5383084577114428,67
10,mistral_8b,0.6445728291316527,68
10,qwen3_5_0_8b,0.48294817927170863,68
10,qwen3_5_27b,0.6816176470588236,68
10,qwen3_5_2b,0.5072478991596638,68
10,qwen3_5_4b,0.49870448179271704,68
10,qwen3_5_9b,0.5800070028011204,68
