domain,role,k,in_sample_loss,in_sample_auc,in_sample_log_likelihood,in_sample_brier,in_sample_ece,heldout_loss,heldout_auc,heldout_log_likelihood,heldout_brier,heldout_ece,in_sample_beta_nll,in_sample_mse,in_sample_rmse,in_sample_mae,in_sample_pearson,heldout_beta_nll,heldout_mse,heldout_rmse,heldout_mae,heldout_pearson
code,code_judge,1,0.1880032569169998,0.9348692300633202,-0.1879894137382507,0.0622076876461505,0.0252045320023572,1.057814598083496,0.8069311926605505,-1.057814598083496,0.1748313754796981,0.1301750473440522,,,,,,,,,,
code,code_judge,2,0.1017708480358123,0.9756859686152152,-0.101750798523426,0.0322634987533092,0.0158670581543468,1.4016977548599243,0.8136815462494248,-1.4016977548599243,0.1988725215196609,0.1741981699731213,,,,,,,,,,
code,code_solver,1,0.1101175919175148,0.9984702549575072,-0.1101062968373298,0.035859327763319,0.0187183631670383,0.4245661497116089,0.8528292682926829,-0.4245661497116089,0.0736301094293594,0.0497512654443451,,,,,,,,,,
code,code_solver,2,0.0594878606498241,1.0,-0.0594737380743026,0.018615698441863,0.0130274975174862,1.0708056688308716,0.7131282051282052,-1.0708056688308716,0.1177916303277015,0.1073050184371278,,,,,,,,,,
kudge,kudge_judge,1,0.3693625032901764,0.8419530976548828,-0.3693499863147735,0.1256781816482544,0.0269522538559301,0.9832897782325744,0.6488356164383562,-0.9832897782325744,0.220864787697792,0.1482908026746481,,,,,,,,,,
kudge,kudge_judge,2,0.2666735649108886,0.8878158907945397,-0.2666504681110382,0.0887776315212249,0.0283793877384466,1.7175875902175903,0.6306890459363957,-1.7175875902175903,0.26370769739151,0.2241748973642763,,,,,,,,,,
kudge,kudge_solver,1,0.3018888831138611,0.9215675675675676,-0.3018800318241119,0.1012154370546341,0.0252629430874367,0.9203478693962096,0.7357508532423208,-0.9203478693962096,0.181749552488327,0.1219202246592515,,,,,,,,,,
kudge,kudge_solver,2,0.2168739736080169,0.9510990990990992,-0.2168455272912979,0.0706179738044738,0.0220231373841709,1.665149211883545,0.66101243339254,-1.665149211883545,0.2298827767372131,0.2000595453041905,,,,,,,,,,
mmlu,mmlu_judge,1,0.2307770848274231,0.9463234579893152,-0.2307679802179336,0.0767807140946388,0.0298497642993014,0.9731336832046508,0.7785990338164251,-0.9731336832046508,0.1658878773450851,0.1237250989665511,,,,,,,,,,
mmlu,mmlu_judge,2,0.1152046546339988,0.9876202039825158,-0.1151810884475708,0.0358650460839271,0.016925986463799,1.296022653579712,0.8008088235294117,-1.296022653579712,0.1585327237844467,0.1451180316629161,,,,,,,,,,
mmlu,mmlu_solver,1,0.3582826256752014,0.8841438356164384,-0.3582706749439239,0.1207964271306991,0.0361039124885971,1.7460484504699707,0.7399145299145299,-1.7460484504699707,0.2624824643135071,0.2068700008333989,,,,,,,,,,
mmlu,mmlu_solver,2,0.2160449475049972,0.9715924657534246,-0.216020181775093,0.070648118853569,0.0249318960760562,2.907376527786255,0.67,-2.907376527786255,0.3245121240615845,0.3125768999692381,,,,,,,,,,
safety,harmmetric_eval_continuous,1,2.827147483825684,,,,,9.765328407287598,,,,,2.7094662189483643,0.081306979060173,0.2851437926292419,0.1523341685533523,0.7862296104431152,9.765328407287598,0.1473392397165298,0.3838479518890381,0.2242017537355423,0.6369217038154602
safety,harmmetric_eval_continuous,2,-0.5233648419380188,,,,,8.517306327819824,,,,,-0.7245043516159058,0.0498792678117752,0.2233366668224334,0.1067660897970199,0.8737163543701172,8.517306327819824,0.140016421675682,0.3741876780986786,0.206498309969902,0.6402106285095215
safety,safety_solver,1,0.0898772031068801,0.9771658821851376,-0.0898658484220504,0.0288580022752285,0.028775117249625,0.4315674901008606,0.8992566118656183,-0.4315674901008606,0.0753485187888145,0.0555755361799214,,,,,,,,,,
safety,safety_solver,2,0.0387068279087543,0.9939081443446012,-0.0386925749480724,0.0112857054919004,0.0141564721782031,0.86481773853302,0.8306719085060758,-0.86481773853302,0.1060251668095588,0.0962235651550967,,,,,,,,,,
